player_id,first_name,last_name,full_name,team_abbreviation
1630557,Corey,Kispert,Corey Kispert,ATL
203468,CJ,McCollum,CJ McCollum,ATL
1641723,Kobe,Bufkin,Kobe Bufkin,LAL
1630526,Jeremiah,Robinson-Earl,Jeremiah Robinson-Earl,DAL
1631102,TyTy,Washington Jr.,TyTy Washington Jr.,LAC
1642484,RayJ,Dennis,RayJ Dennis,ATL
1642502,Malevy,Leons,Malevy Leons,GSW
1643018,LJ,Cryer,LJ Cryer,GSW
1631116,Patrick,Baldwin Jr.,Patrick Baldwin Jr.,LAC
1631132,Christian,Koloko,Christian Koloko,ATL
1627746,Skal,Labissiere,Skal Labissiere,WAS
